train_roc_orig,train_p@n_orig,train_roc_kd,train_p@n_kd,test_time_orig,test_roc_orig,test_p@n_orig,test_time_kd,test_roc_kd,test_p@n_kd,clf
0.5694,0.23400000000000004,0.47630000000000006,0.04259999999999999,0.31417999999999996,0.7283999999999999,0.37800000000000006,0.0020000000000000005,0.46999999999999986,0.0122,ABOD
0.72818,0.31597000000000003,0.7310500000000001,0.33615999999999996,0.0009000000000000001,0.79791,0.45366999999999996,0.0024000000000000002,0.81769,0.4817,CBLOF
0.5673,0.14786000000000002,0.5815400000000002,0.18214000000000002,0.20720999999999998,0.6597000000000001,0.26586,0.002300000000000001,0.6821900000000001,0.29147999999999996,FB
0.8400999999999998,0.4255,0.8411,0.4255,0.00030000000000000003,0.8722000000000001,0.5,0.0016,0.8655999999999999,0.5244,HBOS
0.9321699999999999,0.49788000000000004,0.9350099999999999,0.5,0.045840000000000006,0.93324,0.55977,0.0024000000000000002,0.93549,0.58173,IF
0.6970999999999999,0.29789999999999994,0.6967999999999999,0.31910000000000005,0.06672,0.7865000000000001,0.4756,0.0024000000000000002,0.7916999999999998,0.4878,KNN
0.6274999999999998,0.2553,0.646,0.27660000000000007,0.07516999999999999,0.7504,0.42679999999999996,0.0021000000000000003,0.7611,0.4633999999999999,AKNN
0.5595,0.13830000000000003,0.5774,0.18090000000000003,0.026430000000000002,0.6539,0.2683,0.0022500000000000007,0.6807,0.2561,LOF
0.8253999999999999,0.4074299999999999,0.8123700000000001,0.39787999999999996,0.00035,0.8543,0.52562,0.0022500000000000003,0.84195,0.5488,MCD
0.9328999999999998,0.4468,0.9330999999999998,0.48939999999999995,0.010249999999999999,0.9389000000000001,0.5854,0.0025,0.9339999999999999,0.622,OCSVM
0.9507999999999999,0.5637999999999999,0.9498999999999997,0.5637999999999999,0.00035,0.9545,0.6585,0.00215,0.9541999999999999,0.6585,PCA
